id,identifier,type_id1,type_id2,evolvesFromID,evolutionChainID,description
13,weedle,bug,poison,0,5,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
14,kakuna,bug,poison,13,5,Kakuna remains virtually immobile as it clings to a tree. However&#44; on the inside&#44; it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.
15,beedrill,bug,poison,14,5,Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered&#44; they will attack in a furious swarm.
16,pidgey,normal,flying,0,6,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest&#44; however far it may be removed from its familiar surroundings.
17,pidgeotto,normal,flying,16,6,Pidgeotto claims a large area as its own territory. This Pokémon flies around&#44; patrolling its living space. If its territory is violated&#44; it shows no mercy in thoroughly punishing the foe with its sharp claws.
18,pidgeot,normal,flying,17,6,This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head&#44; compelling them to choose Pidgeot as their Pokémon.
19,rattata,normal,none,0,7,Rattata is cautious in the extreme. Even while it is asleep&#44; it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.
20,raticate,normal,none,19,7,Raticate’s sturdy fangs grow steadily. To keep them ground down&#44; it gnaws on rocks and logs. It may even chew on the walls of houses.
21,spearow,normal,flying,0,8,Spearow has a very loud cry that can be heard over half a mile away. If its high&#44; keening cry is heard echoing all around&#44; it is a sign that they are warning each other of danger.
22,fearow,normal,flying,21,8,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
23,ekans,poison,none,0,9,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
24,arbok,poison,none,23,9,This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe&#44; escaping its crunching embrace is impossible.
25,pikachu,electric,none,172,10,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
26,raichu,electric,none,25,10,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
27,sandshrew,ground,none,0,11,Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night&#44; it burrows into the desert sand to sleep.
28,sandslash,ground,none,27,11,Sandslash can roll up its body as if it were a ball covered with large spikes. In battle&#44; this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.
29,nidoran-f,poison,none,0,12,Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged&#44; it releases a horrible toxin from its horn.
30,nidorina,poison,none,29,12,When Nidorina are with their friends or family&#44; they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.
31,nidoqueen,poison,ground,30,12,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.
32,nidoran-m,poison,none,0,13,Nidoran♂ has developed muscles for moving its ears. Thanks to them&#44; the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice.
33,nidorino,poison,none,32,13,Nidorino has a horn that is harder than a diamond. If it senses a hostile presence&#44; all the barbs on its back bristle up at once&#44; and it challenges the foe with all its might.
34,nidoking,poison,ground,33,13,Nidoking’s thick tail packs enormously destructive power. With one swing&#44; it can topple a metal transmission tower. Once this Pokémon goes on a rampage&#44; there is no stopping it.
35,clefairy,fairy,none,173,14,On every night of a full moon&#44; groups of this Pokémon come out to play. When dawn arrives&#44; the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.
36,clefable,fairy,none,35,14,Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet&#44; moonlit nights.
37,vulpix,fire,none,0,15,Inside Vulpix’s body burns a flame that never goes out. During the daytime&#44; when the temperatures rise&#44; this Pokémon releases flames from its mouth to prevent its body from growing too hot.
38,ninetales,fire,none,37,15,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.
39,jigglypuff,normal,fairy,174,16,When this Pokémon sings&#44; it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep&#44; Jigglypuff cannot breathe&#44; endangering its life.
40,wigglytuff,normal,fairy,39,16,Wigglytuff’s body is very flexible. By inhaling deeply&#44; this Pokémon can inflate itself seemingly without end. Once inflated&#44; Wigglytuff bounces along lightly like a balloon.
41,zubat,poison,flying,0,17,Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime&#44; it stays in caves or under the eaves of old houses&#44; sleeping while hanging upside down.
42,golbat,poison,flying,41,17,Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights&#44; flying around to attack people and Pokémon.
43,oddish,grass,poison,0,18,Oddish searches for fertile&#44; nutrient-rich soil&#44; then plants itself. During the daytime&#44; while it is planted&#44; this Pokémon’s feet are thought to change shape and become similar to the roots of trees.
44,gloom,grass,poison,43,18,From its mouth Gloom drips honey that smells absolutely horrible. Apparently&#44; it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.
45,vileplume,grass,poison,44,18,Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized&#44; this Pokémon catches and devours them.
46,paras,bug,grass,0,19,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.
47,parasect,bug,grass,46,19,Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies&#44; they move onto another tree all at once.
48,venonat,bug,poison,0,20,Venonat is said to have evolved with a coat of thin&#44; stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.
49,venomoth,bug,poison,48,20,Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights&#44; attracted by the light in the darkness.
50,diglett,ground,none,0,21,Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows&#44; the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.
51,dugtrio,ground,none,50,21,Dugtrio are actually triplets that emerged from one body. As a result&#44; each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.
52,meowth,normal,none,0,22,Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason&#44; this Pokémon loves shiny coins that glitter with light.
53,persian,normal,none,52,22,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.
54,psyduck,water,none,0,23,If it uses its mysterious power&#44; Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.
55,golduck,water,none,54,23,Golduck is the fastest swimmer among all Pokémon. It swims effortlessly&#44; even in a rough&#44; stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.
56,mankey,fighting,none,0,24,When Mankey starts shaking and its nasal breathing turns rough&#44; it’s a sure sign that it is becoming angry. However&#44; because it goes into a towering rage almost instantly&#44; it is impossible for anyone to flee its wrath.
57,primeape,fighting,none,56,24,When Primeape becomes furious&#44; its blood circulation is boosted. In turn&#44; its muscles are made even stronger. However&#44; it also becomes much less intelligent at the same time.
58,growlithe,fire,none,0,25,Growlithe has a superb sense of smell. Once it smells anything&#44; this Pokémon won’t forget the scent&#44; no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.
59,arcanine,fire,none,58,25,Arcanine is known for its high speed. It is said to be capable of running over 6&#44;200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.
60,poliwag,water,none,0,26,Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness&#44; however&#44; the skin is also very flexible. Even sharp fangs bounce right off it.
61,poliwhirl,water,none,60,26,The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering&#44; it can easily slip and slide out of the clutches of any enemy in battle.
62,poliwrath,water,fighting,61,26,Poliwrath’s highly developed&#44; brawny muscles never grow fatigued&#44; however much it exercises. It is so tirelessly strong&#44; this Pokémon can swim back and forth across the ocean without effort.
63,abra,psychic,none,0,27,Abra needs to sleep for eighteen hours a day. If it doesn’t&#44; this Pokémon loses its ability to use telekinetic powers. If it is attacked&#44; Abra escapes using Teleport while it is still sleeping.
64,kadabra,psychic,none,63,27,Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon&#44; the Pokémon is said to be limited to half the usual amount of its telekinetic powers.
65,alakazam,psychic,none,64,27,Alakazam’s brain continually grows&#44; infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5&#44;000. It has a thorough memory of everything that has occurred in the world.
66,machop,fighting,none,0,28,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.
67,machoke,fighting,none,66,28,Machoke undertakes bodybuilding every day even as it helps people with tough&#44; physically demanding labor. On its days off&#44; this Pokémon heads to the fields and mountains to exercise and train.
68,machamp,fighting,none,67,28,Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms&#44; the battle is all but over. The hapless foe is thrown far over the horizon.
69,bellsprout,grass,poison,0,29,Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack&#44; however strong it may be. From its mouth&#44; this Pokémon spits a corrosive fluid that melts even iron.
70,weepinbell,grass,poison,69,29,Weepinbell has a large hook on its rear end. At night&#44; the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep&#44; it may wake up to find itself on the ground.
71,victreebel,grass,poison,70,29,Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near&#44; this Pokémon swallows it whole.
72,tentacool,water,poison,0,30,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.
73,tentacruel,water,poison,72,30,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.
74,geodude,rock,ground,0,31,When Geodude sleeps deeply&#44; it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning&#44; this Pokémon rolls downhill in search of food.
75,graveler,rock,ground,74,31,Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit&#44; crunchingly feasting on rocks all the while. Upon reaching the peak&#44; it rolls back down to the bottom.
76,golem,rock,ground,75,31,Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill&#44; grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.
77,ponyta,fire,none,0,32,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.
78,rapidash,fire,none,77,32,Rapidash usually can be seen casually cantering in the fields and plains. However&#44; when this Pokémon turns serious&#44; its fiery manes flare and blaze as it gallops its way up to 150 mph.
79,slowpoke,water,psychic,0,33,Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However&#44; this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.
80,slowbro,water,psychic,79,33,Slowbro’s tail has a Shellder firmly attached with a bite. As a result&#44; the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.
81,magnemite,electric,steel,0,34,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.
82,magneton,electric,steel,81,34,Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this&#44; it is said that some towns warn people to keep this Pokémon inside a Poké Ball.
83,farfetchd,normal,flying,0,35,Farfetch’d is always seen with a stalk from a plant of some sort. Apparently&#44; there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.
84,doduo,normal,flying,0,36,Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions&#44; there will be examples of this Pokémon possessing different sets of brains.
85,dodrio,normal,flying,84,36,Apparently&#44; the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well&#44; so it is capable of running long distances without rest.
86,seel,water,none,0,37,Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe&#44; it punches a hole through the ice with the sharply protruding section of its head.
87,dewgong,water,ice,86,37,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.
88,grimer,poison,none,0,38,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
89,muk,poison,none,88,38,This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets&#44; Muk are certain to gather.
90,shellder,water,none,0,39,At night&#44; this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping&#44; Shellder closes its shell&#44; but leaves its tongue hanging out.
91,cloyster,water,ice,90,39,Cloyster is capable of swimming in the sea. It does so by swallowing water&#44; then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.
92,gastly,ghost,poison,0,40,Gastly is largely composed of gaseous matter. When exposed to a strong wind&#44; the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.
93,haunter,ghost,poison,92,40,Haunter is a dangerous Pokémon. If one beckons you while floating in darkness&#44; you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.
94,gengar,ghost,poison,93,40,Sometimes&#44; on a dark night&#44; your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you&#44; pretending to be your shadow.
95,onix,rock,ground,0,41,Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older&#44; its body becomes increasingly rounder and smoother.
96,drowzee,psychic,none,0,42,If your nose becomes itchy while you are sleeping&#44; it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.
97,hypno,psychic,none,96,42,Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey&#44; it polishes the pendulum.
98,krabby,water,none,0,43,Krabby live on beaches&#44; burrowed inside holes dug into the sand. On sandy beaches with little in the way of food&#44; these Pokémon can be seen squabbling with each other over territory.
99,kingler,water,none,98,43,Kingler has an enormous&#44; oversized claw. It waves this huge claw in the air to communicate with others. However&#44; because the claw is so heavy&#44; the Pokémon quickly tires.
100,voltorb,electric,none,0,44,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.
101,electrode,electric,none,100,44,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
102,exeggcute,grass,psychic,0,45,This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs&#44; Exeggcute is close to evolution.
103,exeggutor,grass,psychic,102,45,Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off&#44; they group together to form Exeggcute.
104,cubone,ground,none,0,46,Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon&#44; it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.
105,marowak,ground,none,104,46,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.
106,hitmonlee,fighting,none,236,47,Hitmonlee’s legs freely contract and stretch. Using these springlike legs&#44; it bowls over foes with devastating kicks. After battle&#44; it rubs down its legs and loosens the muscles to overcome fatigue.
107,hitmonchan,fighting,none,236,47,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.
108,lickitung,normal,none,0,48,Whenever Lickitung comes across something new&#44; it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.
109,koffing,poison,none,0,49,Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature&#44; the more gas is concocted by this Pokémon.
110,weezing,poison,none,109,49,Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed&#44; the more powerful the toxins become. The Pokémon also becomes more putrid.
111,rhyhorn,ground,rock,0,50,Rhyhorn’s brain is very small. It is so dense&#44; while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.
112,rhydon,ground,rock,111,50,Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma&#44; but the armor-like hide prevents it from feeling the heat.
113,chansey,normal,none,440,51,Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious&#44; they are easily and eagerly devoured by even those people who have lost their appetite.
114,tangela,grass,none,0,52,Tangela’s vines snap off easily if they are grabbed. This happens without pain&#44; allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.
115,kangaskhan,normal,none,0,53,If you come across a young Kangaskhan playing by itself&#44; you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area&#44; and it will become violently enraged at you.
116,horsea,water,none,0,54,If Horsea senses danger&#44; it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.
117,seadra,water,none,116,54,Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents&#44; then swallows it whole.
118,goldeen,water,none,0,55,Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium&#44; it will shatter even the thickest glass with one ram of its horn and make its escape.
119,seaking,water,none,118,55,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.
120,staryu,water,none,0,56,Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn&#44; this Pokémon simply regenerates the missing pieces and limbs.
121,starmie,water,psychic,120,56,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.
122,mr-mime,psychic,fairy,439,57,Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced&#44; the unseeable thing exists as if it were real.
123,scyther,bug,flying,0,58,Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective&#44; they can slice through thick logs in one wicked stroke.
124,jynx,ice,psychic,238,59,Jynx walks rhythmically&#44; swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring&#44; people seeing it are compelled to shake their hips without giving any thought to what they are doing.
125,electabuzz,electric,none,239,60,When a storm arrives&#44; gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.
126,magmar,fire,none,240,61,In battle&#44; Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.
127,pinsir,bug,none,0,62,Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes&#44; making it tough for the foe to escape.
128,tauros,normal,none,0,63,This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle&#44; it will charge at thick trees and knock them down to calm itself.
129,magikarp,water,none,0,64,Magikarp is virtually useless in battle as it can only splash around. As a result&#44; it is considered to be weak. However&#44; it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.
130,gyarados,water,flying,129,64,Once Gyarados goes on a rampage&#44; its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.
131,lapras,water,ice,0,65,People have driven Lapras almost to the point of extinction. In the evenings&#44; this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.
132,ditto,normal,none,0,66,Ditto rearranges its cell structure to transform itself into other shapes. However&#44; if it tries to transform itself into something by relying on its memory&#44; this Pokémon manages to get details wrong.
133,eevee,normal,none,0,67,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.
134,vaporeon,water,none,133,67,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.
135,jolteon,electric,none,133,67,Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur&#44; enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.
136,flareon,fire,none,133,67,Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1&#44;650 degrees Fahrenheit.
137,porygon,normal,none,0,68,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.
138,omanyte,rock,water,0,69,Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy&#44; it withdraws itself inside its hard shell.
139,omastar,rock,water,138,69,Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy&#44; causing its movements to become too slow and ponderous.
140,kabuto,rock,water,0,70,Kabuto is a Pokémon that has been regenerated from a fossil. However&#44; in extremely rare cases&#44; living examples have been discovered. The Pokémon has not changed at all for 300 million years.
141,kabutops,rock,water,140,70,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.
142,aerodactyl,rock,flying,0,71,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
143,snorlax,normal,none,446,72,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.
144,articuno,ice,flying,0,73,Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result&#44; it is said that when this Pokémon flies&#44; snow will fall.
145,zapdos,electric,flying,0,74,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.
146,moltres,fire,flying,0,75,Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured&#44; it is said to dip its body in the molten magma of a volcano to burn and heal itself.
147,dratini,dragon,none,0,76,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
148,dragonair,dragon,none,147,76,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.
149,dragonite,dragon,flying,148,76,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.
150,mewtwo,psychic,none,0,77,Mewtwo is a Pokémon that was created by genetic manipulation. However&#44; even though the scientific power of humans created this Pokémon’s body&#44; they failed to endow Mewtwo with a compassionate heart.
151,mew,psychic,none,0,78,Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will&#44; so it entirely avoids notice even if it approaches people.
152,chikorita,grass,none,0,79,In battle&#44; Chikorita waves its leaf around to keep the foe at bay. However&#44; a sweet fragrance also wafts from the leaf&#44; becalming the battling Pokémon and creating a cozy&#44; friendly atmosphere all around.
153,bayleef,grass,none,152,79,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
154,meganium,grass,none,153,79,The fragrance of Meganium’s flower soothes and calms emotions. In battle&#44; this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.
155,cyndaquil,fire,none,0,80,Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However&#44; if it is tired&#44; the flames splutter fitfully with incomplete combustion.
156,quilava,fire,none,155,80,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
157,typhlosion,fire,none,156,80,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
158,totodile,water,none,0,81,Despite the smallness of its body&#44; Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping&#44; its bite has enough power to cause serious injury.
159,croconaw,water,none,158,81,Once Croconaw has clamped its jaws on its foe&#44; it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks&#44; they become impossible to remove when they have sunk in.
160,feraligatr,water,none,159,81,Feraligatr intimidates its foes by opening its huge mouth. In battle&#44; it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.
161,sentret,normal,none,0,82,When Sentret sleeps&#44; it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack&#44; it becomes incapable of sleep due to fear.
162,furret,normal,none,161,82,Furret has a very slim build. When under attack&#44; it can slickly squirm through narrow spaces and get away. In spite of its short limbs&#44; this Pokémon is very nimble and fleet.
163,hoothoot,normal,flying,0,83,Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ&#44; this Pokémon begins hooting at precisely the same time every day.
